,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
2179,46,admin.,married,university.degree,no,yes,no,telephone,may,mon,243.0,4,999,0,nonexistent,no
2180,40,technician,single,professional.course,no,yes,yes,cellular,jul,fri,919.0,2,999,0,nonexistent,no
2181,32,services,single,high.school,no,no,no,cellular,may,mon,196.0,1,999,0,nonexistent,no
2182,33,technician,married,university.degree,no,yes,no,telephone,sep,wed,161.0,1,999,1,failure,no
2183,33,admin.,single,university.degree,unknown,yes,yes,cellular,aug,wed,121.0,1,999,0,nonexistent,no
2184,48,technician,divorced,professional.course,no,yes,no,cellular,jul,thu,108.0,2,999,0,nonexistent,no
2185,45,admin.,married,university.degree,no,no,no,cellular,aug,mon,608.0,1,999,0,nonexistent,yes
2186,57,admin.,single,university.degree,unknown,no,no,telephone,jul,fri,80.0,1,999,0,nonexistent,no
2187,33,housemaid,married,professional.course,no,yes,no,cellular,aug,thu,110.0,1,999,0,nonexistent,no
2188,33,technician,married,university.degree,no,yes,no,cellular,jul,thu,90.0,5,999,0,nonexistent,no
2189,35,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,339.0,2,999,0,nonexistent,no
2190,39,housemaid,married,basic.9y,no,no,no,telephone,may,tue,340.0,3,999,0,nonexistent,no
2191,39,admin.,married,high.school,no,yes,no,cellular,aug,tue,101.0,2,999,0,nonexistent,no
2192,52,services,married,basic.9y,unknown,no,no,telephone,may,thu,80.0,3,999,0,nonexistent,no
2193,49,services,married,unknown,no,no,no,telephone,aug,fri,104.0,1,999,0,nonexistent,no
2194,41,admin.,single,university.degree,no,yes,no,cellular,jul,fri,706.0,9,999,0,nonexistent,no
2195,30,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1109.0,11,999,0,nonexistent,yes
2196,35,services,divorced,professional.course,no,no,yes,cellular,aug,thu,66.0,1,999,0,nonexistent,no
2197,30,services,married,high.school,no,no,no,cellular,jul,thu,111.0,1,999,0,nonexistent,no
2198,21,services,single,professional.course,no,yes,yes,cellular,jun,thu,787.0,1,999,0,nonexistent,yes
2199,39,entrepreneur,single,university.degree,no,yes,no,cellular,may,fri,452.0,1,999,0,nonexistent,no
2200,58,retired,married,professional.course,no,no,no,cellular,nov,wed,189.0,1,999,0,nonexistent,no
2201,54,technician,married,professional.course,no,yes,yes,telephone,may,mon,196.0,2,999,0,nonexistent,no
2202,58,entrepreneur,married,university.degree,no,no,no,telephone,jul,wed,175.0,1,999,0,nonexistent,no
2203,32,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,469.0,2,999,0,nonexistent,no
2204,50,housemaid,married,basic.4y,unknown,unknown,unknown,cellular,jul,fri,356.0,9,999,0,nonexistent,no
2205,35,technician,single,university.degree,no,no,no,telephone,jun,tue,48.0,2,999,0,nonexistent,no
2206,33,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,55.0,2,999,0,nonexistent,no
2207,49,services,divorced,basic.9y,no,no,no,telephone,may,mon,134.0,2,999,0,nonexistent,no
2208,31,technician,single,professional.course,no,yes,no,cellular,nov,thu,207.0,5,999,1,failure,no
2209,46,technician,married,basic.6y,no,yes,no,cellular,aug,thu,464.0,4,999,0,nonexistent,yes
2210,38,admin.,married,university.degree,no,no,yes,telephone,jun,tue,346.0,2,999,0,nonexistent,no
2211,42,services,married,professional.course,no,yes,no,cellular,may,thu,103.0,2,999,1,failure,no
2212,56,admin.,divorced,unknown,no,yes,no,telephone,jul,fri,353.0,2,999,0,nonexistent,yes
2213,50,blue-collar,married,unknown,unknown,no,no,cellular,jul,thu,1183.0,1,999,0,nonexistent,no
2214,39,management,single,basic.9y,no,yes,no,cellular,nov,mon,125.0,1,999,0,nonexistent,no
2215,37,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,147.0,1,999,0,nonexistent,no
2216,47,blue-collar,married,unknown,unknown,yes,yes,telephone,may,thu,95.0,1,999,0,nonexistent,no
2217,58,admin.,married,high.school,no,no,no,cellular,aug,thu,214.0,1,999,0,nonexistent,no
2218,24,blue-collar,single,basic.9y,no,yes,no,cellular,jul,wed,220.0,1,999,0,nonexistent,no
2219,31,services,married,high.school,no,yes,no,telephone,may,wed,119.0,5,999,0,nonexistent,no
2220,35,technician,married,university.degree,unknown,yes,no,cellular,nov,wed,337.0,1,999,0,nonexistent,no
2221,37,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,6.0,5,999,0,nonexistent,no
2222,27,admin.,single,university.degree,no,yes,yes,cellular,may,mon,80.0,1,999,1,failure,no
2223,33,technician,married,university.degree,no,yes,yes,telephone,jul,wed,89.0,1,999,0,nonexistent,no
2224,31,admin.,married,university.degree,no,no,no,telephone,jul,mon,7.0,1,999,0,nonexistent,no
2225,33,admin.,married,university.degree,no,yes,no,cellular,jun,mon,346.0,1,999,0,nonexistent,no
2226,32,blue-collar,married,basic.9y,no,unknown,unknown,telephone,apr,fri,108.0,3,999,0,nonexistent,no
2227,49,management,married,university.degree,no,yes,no,cellular,nov,fri,846.0,1,3,1,success,no
2228,46,housemaid,married,high.school,no,yes,no,telephone,aug,mon,130.0,1,999,0,nonexistent,no
2229,40,technician,married,professional.course,unknown,yes,no,cellular,aug,wed,192.0,1,999,0,nonexistent,no
2230,42,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,189.0,2,999,0,nonexistent,no
2231,38,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,275.0,6,999,0,nonexistent,no
2232,34,technician,married,professional.course,no,no,no,cellular,aug,fri,462.0,1,999,0,nonexistent,no
2233,28,admin.,married,university.degree,no,yes,no,cellular,may,mon,643.0,1,999,0,nonexistent,yes
2234,36,blue-collar,single,basic.6y,no,no,no,telephone,may,thu,989.0,1,999,0,nonexistent,no
2235,34,technician,single,basic.9y,no,no,no,telephone,jul,thu,23.0,1,999,1,failure,no
2236,48,services,divorced,high.school,no,yes,no,cellular,jul,mon,200.0,2,999,0,nonexistent,no
2237,42,services,divorced,high.school,no,yes,no,telephone,jun,thu,143.0,1,999,0,nonexistent,no
2238,41,admin.,single,basic.9y,unknown,no,no,cellular,may,wed,195.0,1,999,0,nonexistent,no
2239,45,blue-collar,single,high.school,unknown,yes,no,cellular,may,mon,8.0,7,999,0,nonexistent,no
2240,37,technician,married,high.school,no,no,no,cellular,aug,tue,190.0,1,999,0,nonexistent,no
2241,34,blue-collar,single,university.degree,unknown,yes,no,cellular,may,mon,321.0,2,999,0,nonexistent,no
2242,28,services,married,high.school,no,no,no,telephone,may,mon,1022.0,4,999,0,nonexistent,yes
2243,54,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,mon,53.0,3,999,0,nonexistent,no
2244,32,management,single,university.degree,no,no,no,cellular,jun,tue,264.0,4,999,0,nonexistent,no
2245,50,services,single,high.school,no,no,no,cellular,jul,wed,129.0,9,999,0,nonexistent,no
2246,34,blue-collar,married,unknown,no,no,yes,cellular,jul,tue,44.0,13,999,0,nonexistent,no
2247,31,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,fri,65.0,1,999,0,nonexistent,no
2248,27,services,married,high.school,unknown,yes,no,telephone,may,tue,129.0,1,999,0,nonexistent,no
2249,34,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,54.0,1,999,0,nonexistent,no
2250,38,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,294.0,2,999,0,nonexistent,no
2251,54,blue-collar,married,basic.9y,no,yes,yes,cellular,nov,wed,101.0,1,999,0,nonexistent,no
2252,34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,874.0,3,999,0,nonexistent,no
2253,38,management,married,university.degree,no,yes,no,cellular,may,tue,111.0,2,999,0,nonexistent,no
2254,58,retired,married,unknown,no,unknown,unknown,telephone,may,tue,174.0,1,999,0,nonexistent,no
2255,41,admin.,single,university.degree,no,yes,no,cellular,apr,mon,279.0,1,999,0,nonexistent,no
2256,37,services,married,high.school,no,yes,yes,cellular,apr,mon,345.0,2,999,0,nonexistent,no
2257,29,admin.,married,high.school,no,yes,no,cellular,may,thu,798.0,2,999,0,nonexistent,yes
2258,28,unemployed,married,professional.course,no,yes,no,telephone,aug,fri,275.0,6,999,0,nonexistent,yes
2259,31,admin.,single,university.degree,no,no,yes,cellular,nov,thu,264.0,1,999,0,nonexistent,no
2260,32,technician,single,professional.course,no,yes,no,telephone,jun,mon,371.0,3,999,0,nonexistent,no
2261,38,services,single,high.school,unknown,yes,no,cellular,jul,tue,109.0,3,999,0,nonexistent,no
2262,41,self-employed,married,unknown,unknown,no,no,cellular,may,wed,100.0,2,999,1,failure,no
2263,40,admin.,married,basic.9y,no,yes,no,cellular,nov,wed,186.0,2,999,0,nonexistent,no
2264,26,admin.,married,high.school,no,no,no,telephone,may,thu,326.0,4,999,0,nonexistent,no
2265,23,services,single,basic.9y,no,yes,no,cellular,may,thu,,1,999,1,failure,no
2266,32,admin.,single,university.degree,no,no,no,cellular,may,wed,183.0,2,999,0,nonexistent,no
2267,32,management,married,university.degree,no,yes,no,cellular,aug,mon,73.0,1,999,0,nonexistent,no
2268,31,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,42.0,1,999,0,nonexistent,no
2269,33,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,143.0,1,999,0,nonexistent,no
2270,28,admin.,single,high.school,no,yes,no,cellular,mar,thu,131.0,4,999,0,nonexistent,no
2271,50,admin.,married,high.school,no,no,no,telephone,nov,tue,46.0,4,999,0,nonexistent,no
2272,41,management,married,university.degree,no,yes,no,cellular,may,fri,13.0,2,999,0,nonexistent,no
2273,31,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,367.0,2,999,0,nonexistent,no
2274,33,unemployed,single,basic.9y,no,yes,no,telephone,aug,tue,5.0,1,999,0,nonexistent,no
2275,42,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,wed,42.0,2,999,0,nonexistent,no
2276,28,services,married,high.school,no,yes,no,telephone,may,tue,176.0,4,999,0,nonexistent,no
2277,45,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,mon,133.0,1,999,0,nonexistent,no
2278,48,self-employed,divorced,university.degree,no,no,no,cellular,aug,fri,166.0,1,999,1,failure,no
2279,49,blue-collar,married,basic.4y,no,no,no,telephone,jun,thu,577.0,2,999,0,nonexistent,yes
2280,36,unemployed,single,high.school,no,yes,no,cellular,jul,wed,597.0,1,999,0,nonexistent,no
2281,30,admin.,married,university.degree,no,no,no,cellular,jul,fri,128.0,2,999,0,nonexistent,no
2282,32,admin.,married,high.school,no,no,no,cellular,may,mon,87.0,1,999,0,nonexistent,no
2283,46,entrepreneur,married,high.school,no,no,no,cellular,may,tue,366.0,1,6,1,success,no
2284,42,technician,married,professional.course,no,no,no,cellular,nov,fri,21.0,6,999,0,nonexistent,no
2285,76,management,married,unknown,no,no,no,cellular,sep,fri,113.0,1,999,0,nonexistent,no
2286,44,admin.,married,university.degree,unknown,yes,no,telephone,jun,thu,18.0,2,999,0,nonexistent,no
2287,53,entrepreneur,married,unknown,no,yes,no,telephone,may,wed,126.0,2,999,0,nonexistent,no
2288,35,technician,married,professional.course,no,no,no,telephone,mar,thu,282.0,2,6,1,success,no
2289,45,management,single,basic.9y,no,yes,no,cellular,nov,thu,165.0,3,999,1,failure,no
2290,49,blue-collar,divorced,basic.6y,unknown,yes,no,cellular,jul,thu,128.0,3,999,0,nonexistent,no
2291,35,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue,79.0,1,999,0,nonexistent,no
2292,45,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,tue,427.0,4,999,1,failure,no
2293,55,blue-collar,married,unknown,unknown,no,no,cellular,may,fri,9.0,2,999,2,failure,no
2294,36,services,married,high.school,no,no,no,cellular,may,thu,62.0,2,999,1,failure,no
2295,43,services,married,high.school,no,no,no,telephone,may,tue,202.0,1,999,0,nonexistent,no
2296,23,admin.,single,university.degree,no,yes,yes,telephone,jul,mon,69.0,3,999,0,nonexistent,no
2297,41,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,fri,359.0,1,999,0,nonexistent,no
2298,44,blue-collar,single,high.school,no,no,yes,telephone,may,mon,65.0,1,999,0,nonexistent,no
2299,46,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,fri,277.0,1,999,0,nonexistent,no
2300,27,technician,single,professional.course,unknown,yes,no,cellular,may,tue,126.0,1,999,0,nonexistent,no
2301,24,student,single,unknown,no,yes,yes,cellular,jun,tue,124.0,1,999,1,failure,no
2302,56,admin.,married,basic.9y,unknown,no,no,telephone,may,mon,10.0,11,999,0,nonexistent,no
2303,31,blue-collar,single,high.school,no,yes,no,cellular,jul,wed,379.0,1,999,0,nonexistent,no
2304,39,management,married,university.degree,no,no,no,telephone,jun,wed,129.0,3,999,0,nonexistent,no
2305,33,self-employed,married,university.degree,no,yes,yes,cellular,nov,wed,208.0,1,999,0,nonexistent,no
2306,34,blue-collar,married,basic.4y,no,no,yes,cellular,may,thu,346.0,1,999,0,nonexistent,no
2307,38,blue-collar,single,high.school,no,no,no,telephone,mar,tue,450.0,3,6,2,success,yes
2308,38,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,118.0,1,999,0,nonexistent,no
2309,18,student,single,high.school,no,yes,no,cellular,may,fri,251.0,1,1,2,success,no
2310,31,services,single,university.degree,unknown,yes,no,cellular,aug,tue,1307.0,3,999,0,nonexistent,yes
2311,55,housemaid,married,unknown,no,no,no,cellular,jun,fri,133.0,1,999,1,failure,no
2312,42,admin.,married,high.school,no,no,no,cellular,jul,wed,189.0,6,999,0,nonexistent,no
2313,27,admin.,single,high.school,no,yes,no,telephone,may,fri,137.0,2,999,0,nonexistent,no
2314,46,technician,divorced,professional.course,unknown,no,no,cellular,may,mon,927.0,2,999,0,nonexistent,no
2315,24,services,single,basic.9y,no,no,no,cellular,jul,wed,250.0,1,999,0,nonexistent,no
2316,41,blue-collar,single,basic.6y,no,yes,no,cellular,jul,wed,1056.0,2,999,0,nonexistent,no
2317,65,management,married,unknown,no,yes,no,telephone,dec,wed,207.0,3,999,1,failure,yes
2318,31,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,174.0,1,999,0,nonexistent,no
2319,36,management,single,high.school,no,unknown,unknown,telephone,jun,thu,184.0,1,999,0,nonexistent,no
2320,51,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,tue,85.0,1,999,0,nonexistent,no
2321,36,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,63.0,1,999,0,nonexistent,no
2322,46,admin.,married,basic.9y,unknown,no,no,telephone,may,fri,233.0,2,999,0,nonexistent,no
2323,38,services,married,high.school,no,no,no,cellular,apr,mon,95.0,3,999,1,failure,no
2324,34,technician,married,professional.course,no,yes,no,cellular,jun,wed,302.0,1,999,0,nonexistent,yes
2325,40,blue-collar,divorced,high.school,unknown,no,no,telephone,may,thu,155.0,6,999,0,nonexistent,no
2326,35,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,395.0,2,999,0,nonexistent,no
2327,59,entrepreneur,married,basic.9y,no,no,no,telephone,may,thu,200.0,4,999,0,nonexistent,no
2328,45,admin.,married,high.school,no,yes,no,telephone,jun,mon,221.0,2,999,0,nonexistent,no
2329,53,entrepreneur,married,basic.4y,unknown,yes,no,cellular,aug,fri,150.0,1,999,0,nonexistent,no
2330,49,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,tue,85.0,4,999,1,failure,no
2331,30,technician,married,university.degree,no,yes,yes,cellular,aug,wed,678.0,4,999,0,nonexistent,no
2332,35,blue-collar,single,basic.4y,unknown,yes,yes,cellular,may,mon,46.0,2,999,0,nonexistent,no
2333,50,admin.,divorced,basic.9y,no,no,no,cellular,jul,mon,250.0,5,999,0,nonexistent,no
2334,23,blue-collar,single,high.school,no,no,no,cellular,jul,wed,435.0,1,999,0,nonexistent,yes
2335,44,services,married,professional.course,no,no,no,cellular,aug,mon,186.0,2,999,0,nonexistent,no
2336,55,technician,married,professional.course,unknown,yes,no,cellular,aug,tue,160.0,2,999,0,nonexistent,no
2337,39,management,married,university.degree,no,no,yes,cellular,apr,fri,82.0,2,999,0,nonexistent,no
2338,50,services,married,high.school,no,yes,no,telephone,may,wed,49.0,3,999,0,nonexistent,no
2339,34,admin.,married,university.degree,no,no,yes,cellular,dec,tue,196.0,2,6,2,success,yes
2340,34,admin.,married,university.degree,no,no,no,cellular,may,fri,190.0,1,999,0,nonexistent,no
2341,34,self-employed,married,basic.4y,unknown,yes,no,cellular,apr,fri,236.0,3,999,0,nonexistent,no
2342,47,admin.,single,high.school,no,no,no,cellular,may,mon,1114.0,2,999,0,nonexistent,no
2343,36,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,865.0,1,999,0,nonexistent,no
2344,48,admin.,divorced,unknown,no,yes,no,cellular,may,wed,16.0,6,999,0,nonexistent,no
2345,26,unemployed,married,basic.4y,no,no,no,telephone,may,fri,29.0,1,999,0,nonexistent,no
2346,56,admin.,divorced,unknown,no,no,no,telephone,jun,thu,57.0,2,999,0,nonexistent,no
2347,60,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,thu,80.0,3,999,0,nonexistent,no
2348,33,self-employed,married,basic.9y,unknown,no,no,cellular,aug,fri,116.0,1,999,0,nonexistent,no
2349,54,retired,married,basic.9y,no,no,yes,telephone,may,mon,596.0,1,999,0,nonexistent,no
2350,55,admin.,married,high.school,no,no,no,telephone,jul,wed,229.0,1,9,1,success,yes
2351,36,blue-collar,married,basic.6y,unknown,no,no,cellular,nov,wed,83.0,1,999,1,failure,no
2352,52,unknown,married,basic.4y,no,yes,no,telephone,jun,fri,29.0,1,999,0,nonexistent,no
2353,58,housemaid,married,basic.4y,no,yes,no,telephone,may,wed,154.0,2,999,0,nonexistent,no
2354,45,blue-collar,married,basic.6y,no,no,no,cellular,apr,mon,293.0,1,1,1,success,no
2355,24,student,single,professional.course,no,yes,no,cellular,jul,wed,817.0,2,999,0,nonexistent,yes
2356,31,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,582.0,2,999,0,nonexistent,no
2357,54,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,thu,2025.0,1,999,0,nonexistent,yes
2358,46,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,130.0,2,999,1,failure,no
2359,33,technician,married,university.degree,no,no,no,cellular,nov,wed,200.0,1,999,0,nonexistent,no
2360,29,blue-collar,married,high.school,no,yes,no,cellular,nov,thu,168.0,1,999,0,nonexistent,no
2361,76,retired,married,professional.course,unknown,yes,no,cellular,jun,tue,295.0,1,9,2,success,yes
2362,57,entrepreneur,married,high.school,unknown,yes,no,telephone,may,fri,255.0,2,999,0,nonexistent,no
2363,27,blue-collar,married,basic.4y,unknown,no,no,cellular,may,mon,877.0,7,999,0,nonexistent,yes
2364,39,unemployed,married,university.degree,unknown,no,no,telephone,jun,thu,21.0,8,999,0,nonexistent,no
2365,59,retired,married,unknown,no,no,no,cellular,aug,fri,69.0,1,999,0,nonexistent,no
2366,23,blue-collar,single,basic.9y,no,no,no,cellular,jul,tue,246.0,1,999,0,nonexistent,no
2367,38,technician,married,university.degree,no,yes,no,cellular,may,tue,55.0,1,999,1,failure,no
2368,47,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,217.0,2,999,0,nonexistent,no
2369,25,services,married,high.school,no,yes,no,cellular,jul,tue,140.0,1,999,0,nonexistent,no
2370,31,self-employed,married,basic.9y,no,no,no,cellular,jul,wed,56.0,1,999,0,nonexistent,no
2371,43,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,1297.0,2,999,0,nonexistent,no
2372,32,services,single,unknown,unknown,yes,no,cellular,jul,tue,881.0,1,999,0,nonexistent,yes
2373,31,blue-collar,married,basic.9y,no,yes,yes,telephone,may,fri,233.0,1,999,0,nonexistent,no
2374,29,technician,single,university.degree,no,yes,no,cellular,apr,wed,389.0,2,999,0,nonexistent,yes
2375,53,services,married,basic.9y,unknown,yes,no,cellular,aug,mon,136.0,2,999,0,nonexistent,no
2376,42,services,married,basic.6y,no,no,no,cellular,jul,tue,92.0,3,999,0,nonexistent,no
2377,49,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,171.0,1,999,0,nonexistent,no
2378,48,management,married,university.degree,no,yes,no,cellular,nov,fri,118.0,1,999,0,nonexistent,no
2379,28,admin.,single,basic.9y,unknown,no,no,telephone,jul,thu,171.0,8,999,0,nonexistent,no
2380,39,management,married,university.degree,no,no,no,cellular,nov,mon,71.0,1,999,1,failure,no
2381,57,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,wed,89.0,1,999,0,nonexistent,no
2382,49,management,married,university.degree,no,no,no,cellular,nov,wed,139.0,2,999,0,nonexistent,no
2383,23,admin.,single,high.school,no,yes,no,cellular,may,thu,70.0,3,999,1,failure,no
2384,48,blue-collar,married,professional.course,no,yes,no,cellular,aug,tue,996.0,2,999,0,nonexistent,no
2385,37,technician,married,university.degree,unknown,no,no,telephone,may,fri,57.0,5,999,0,nonexistent,no
2386,44,entrepreneur,married,university.degree,no,yes,yes,cellular,may,thu,91.0,1,999,0,nonexistent,no
2387,39,services,married,high.school,no,yes,no,cellular,may,thu,739.0,2,999,1,failure,no
2388,45,services,married,high.school,unknown,yes,yes,cellular,aug,mon,213.0,2,999,0,nonexistent,no
2389,24,technician,single,professional.course,unknown,no,no,telephone,may,mon,149.0,4,999,0,nonexistent,no
2390,32,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,41.0,2,999,0,nonexistent,no
2391,31,student,married,high.school,no,no,no,cellular,jul,thu,149.0,1,999,0,nonexistent,no
2392,30,technician,married,high.school,no,yes,no,cellular,aug,wed,143.0,1,999,0,nonexistent,no
2393,56,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,70.0,5,999,0,nonexistent,no
2394,50,admin.,married,basic.9y,no,yes,no,cellular,apr,thu,717.0,3,999,0,nonexistent,yes
2395,30,admin.,married,university.degree,no,yes,no,cellular,aug,fri,183.0,1,999,0,nonexistent,no
2396,50,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,fri,91.0,1,999,0,nonexistent,no
2397,34,blue-collar,married,high.school,no,yes,no,telephone,jun,mon,562.0,3,999,0,nonexistent,no
2398,33,services,married,high.school,no,no,no,telephone,may,tue,322.0,2,999,0,nonexistent,no
2399,34,technician,married,professional.course,no,no,no,cellular,aug,wed,1148.0,2,999,0,nonexistent,yes
2400,55,technician,divorced,professional.course,unknown,yes,yes,telephone,may,thu,72.0,1,999,0,nonexistent,no
2401,50,admin.,single,university.degree,no,no,no,telephone,jun,wed,178.0,6,999,0,nonexistent,no
2402,41,admin.,married,university.degree,no,yes,no,cellular,jul,tue,826.0,1,999,1,failure,no
2403,42,technician,married,professional.course,no,no,no,cellular,aug,wed,96.0,1,999,1,failure,no
2404,36,technician,married,university.degree,no,no,no,telephone,may,wed,648.0,1,999,0,nonexistent,no
2405,38,management,single,university.degree,no,no,no,cellular,nov,thu,69.0,4,999,0,nonexistent,no
2406,44,admin.,single,high.school,no,yes,no,cellular,apr,thu,804.0,2,999,1,failure,no
2407,51,technician,single,professional.course,no,no,no,cellular,aug,wed,1740.0,1,999,0,nonexistent,no
2408,25,technician,single,professional.course,no,yes,no,cellular,nov,wed,541.0,1,999,0,nonexistent,yes
2409,44,blue-collar,married,basic.6y,no,no,yes,cellular,may,thu,244.0,2,999,0,nonexistent,no
2410,31,technician,single,professional.course,unknown,yes,no,telephone,may,mon,188.0,7,999,0,nonexistent,no
2411,40,blue-collar,married,basic.9y,unknown,no,no,cellular,apr,mon,144.0,2,999,0,nonexistent,no
2412,36,admin.,married,professional.course,no,no,no,cellular,may,thu,229.0,2,999,0,nonexistent,no
2413,36,admin.,married,university.degree,no,yes,no,telephone,jul,mon,197.0,5,999,0,nonexistent,no
2414,31,technician,single,university.degree,no,yes,yes,cellular,jun,fri,241.0,5,999,0,nonexistent,no
2415,29,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,tue,89.0,5,999,0,nonexistent,no
2416,30,blue-collar,married,high.school,no,no,no,cellular,aug,fri,358.0,3,999,0,nonexistent,no
2417,55,retired,married,basic.4y,unknown,yes,no,telephone,may,tue,129.0,1,999,0,nonexistent,no
2418,37,blue-collar,married,basic.9y,unknown,yes,yes,telephone,jul,fri,31.0,2,999,0,nonexistent,no
2419,43,blue-collar,single,professional.course,no,no,no,telephone,may,wed,51.0,2,999,0,nonexistent,no
2420,31,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,257.0,2,999,1,failure,no
2421,31,services,married,high.school,no,unknown,unknown,cellular,may,thu,215.0,2,999,1,failure,no
2422,42,entrepreneur,single,unknown,no,no,no,cellular,jul,wed,295.0,1,999,0,nonexistent,no
2423,32,admin.,single,university.degree,no,yes,no,cellular,mar,mon,167.0,2,999,0,nonexistent,no
2424,58,blue-collar,married,high.school,unknown,no,no,cellular,may,mon,176.0,1,999,0,nonexistent,no
2425,30,technician,single,high.school,no,no,no,cellular,aug,mon,638.0,4,999,0,nonexistent,yes
2426,41,technician,married,university.degree,no,yes,yes,cellular,nov,fri,38.0,2,999,0,nonexistent,no
2427,33,services,married,basic.9y,no,no,yes,cellular,may,tue,277.0,1,999,0,nonexistent,no
2428,58,retired,divorced,university.degree,no,yes,no,cellular,apr,wed,129.0,1,999,0,nonexistent,yes
2429,39,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,257.0,1,999,0,nonexistent,no
2430,38,technician,married,professional.course,no,yes,no,cellular,aug,fri,119.0,3,999,0,nonexistent,no
2431,28,blue-collar,single,basic.9y,unknown,no,no,cellular,may,thu,884.0,3,999,1,failure,yes
2432,37,blue-collar,married,high.school,no,no,no,telephone,may,fri,286.0,1,999,0,nonexistent,no
2433,36,entrepreneur,married,basic.6y,unknown,no,no,telephone,jun,wed,125.0,5,999,0,nonexistent,no
2434,41,services,married,basic.9y,no,yes,no,telephone,jun,wed,147.0,1,999,0,nonexistent,no
2435,27,services,married,high.school,unknown,no,no,telephone,jul,fri,584.0,1,999,0,nonexistent,yes
2436,33,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,134.0,9,999,0,nonexistent,no
2437,54,retired,married,high.school,no,no,no,cellular,nov,tue,172.0,1,999,0,nonexistent,no
2438,29,technician,divorced,professional.course,unknown,yes,no,cellular,may,fri,14.0,5,999,1,failure,no
2439,31,admin.,single,high.school,no,no,no,cellular,aug,tue,241.0,1,999,1,failure,no
2440,36,housemaid,divorced,basic.4y,no,no,no,cellular,nov,tue,84.0,1,999,0,nonexistent,no
2441,27,technician,married,university.degree,no,no,no,telephone,may,fri,125.0,3,999,0,nonexistent,no
2442,34,technician,married,high.school,no,no,no,cellular,aug,mon,256.0,8,999,0,nonexistent,no
2443,34,admin.,single,university.degree,no,yes,no,cellular,aug,tue,174.0,2,999,0,nonexistent,no
2444,54,management,married,university.degree,unknown,no,yes,cellular,apr,mon,1817.0,3,999,0,nonexistent,yes
2445,48,entrepreneur,married,university.degree,no,yes,no,cellular,may,fri,316.0,2,999,0,nonexistent,yes
2446,51,management,married,university.degree,no,no,no,cellular,may,fri,203.0,2,999,0,nonexistent,no
2447,81,retired,married,high.school,no,no,no,cellular,aug,tue,50.0,3,999,0,nonexistent,no
2448,53,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,tue,178.0,1,999,0,nonexistent,no
2449,48,unemployed,married,basic.4y,no,yes,no,telephone,may,tue,265.0,2,999,0,nonexistent,no
2450,37,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,1085.0,3,999,0,nonexistent,yes
2451,36,admin.,married,university.degree,unknown,yes,no,telephone,may,tue,265.0,1,999,0,nonexistent,no
